Energy,Shell,MFP,MAC_Total,MAC_Incoherent,MAC_Coherent,MAC_Photoelectric,MAC_Pair_production,Inf_Flu_BUF,Fin_Flu_BUF,Inf_Exp_BUF,Fin_Exp_BUF,Inf_Eff_BUF,Fin_Eff_BUF
0.019965,1,100.0,80.549885097,0.095828950072,0.66491225433,79.789143893,0.0,2.6338e+35,2.624e+35,2.7395e+35,2.7286e+35,2.5802e+35,2.5712e+35
0.03,1,74.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.8671e+25,1.8444e+25,2.2336e+25,2.0742e+25,1.7912e+25,1.7716e+25
0.03,1,75.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.1962e+25,4.1437e+25,5.0532e+25,4.6535e+25,4.0262e+25,3.9808e+25
0.03,1,76.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,9.4305e+25,9.3143e+25,1.1372e+26,1.0535e+26,9.0488e+25,8.9482e+25
0.03,1,77.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.1194e+26,2.0937e+26,2.5589999999999997e+26,2.3849e+26,2.0337e+26,2.0114e+26
0.03,1,78.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,4.7629999999999996e+26,4.7063e+26,5.7586e+26,5.399e+26,4.5708e+26,4.5214e+26
0.03,1,79.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.0704e+27,1.0579e+27,1.2958999999999998e+27,1.2221999999999998e+27,1.0273e+27,1.0163e+27
0.03,1,80.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.4056e+27,2.378e+27,2.9162e+27,2.7669e+27,2.3088e+27,2.2846e+27
0.03,1,81.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,5.4105e+27,5.3494e+27,6.5235e+27,6.215299999999999e+27,5.194e+27,5.140000000000001e+27
0.03,1,82.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.2169e+28,1.2034e+28,1.4593e+28,1.3961e+28,1.1685e+28,1.1564e+28
0.03,1,83.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,2.7369e+28,2.7071e+28,3.2645e+28,3.1360000000000003e+28,2.6286e+28,2.6018e+28
0.03,1,84.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,6.1557e+28,6.0898e+28,7.3027e+28,7.0444e+28,5.9133e+28,5.8538e+28
0.03,1,85.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.3845e+29,1.3699000000000002e+29,1.6336e+29,1.5824e+29,1.3303e+29,1.317e+29
0.03,1,86.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,3.1217000000000004e+29,3.0895000000000003e+29,3.6647000000000005e+29,3.5509e+29,2.9996000000000003e+29,2.9704e+29
0.03,1,87.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,7.038600000000001e+29,6.9674e+29,8.2211e+29,7.968400000000001e+29,6.7639e+29,6.699400000000001e+29
0.03,1,88.0,40.897494636,0.10166416154,0.55401733863,40.241813136,0.0,1.587e+30,1.5713e+30,1.8443e+30,1.7882e+30,1.5252e+30,1.5109e+30
